question,answer
"Which Kubernetes component is responsible for managing the health and registration of nodes in a cluster?
A) kube-scheduler
B) kube-proxy
C) kubelet
D) kube-apiserver",C) kubelet
"A node's status shows it's 'NotReady'.  What is a likely cause?
A) The kubelet is not running.
B) The node is overloaded with pods.
C) The node's operating system crashed.
D) All of the above.",D) All of the above
What command would you use to mark a node named 'node-01' as unschedulable to prevent new pods from being scheduled on it?,kubectl cordon node-01
"How can you add labels to a node during self-registration using the kubelet?
A)  Use the `--node-labels` flag.
B)  Modify the Node object directly using `kubectl`.
C)  Use a DaemonSet to automatically label nodes.
D)  Labels are assigned by the control plane automatically.",A) Use the `--node-labels` flag.
"You need to replace a node with a significantly updated configuration. What is the correct procedure?
A)  Update the node's configuration directly through the kubelet.
B)  Modify the Node object using kubectl and preserving the same name.
C)  Delete the existing Node object and re-add it after the update.
D)  There's no way to replace a node; the only option is to delete the old node and let Kubernetes create a new one.",C) Delete the existing Node object and re-add it after the update.
What command will display detailed information about a node named 'mynode'?,kubectl describe node mynode
"Which port does the Kubernetes API server typically listen on for secure HTTPS connections from nodes?

A) 80
B) 22
C) 443
D) 6443",C) 443
"What is the primary method used for secure communication between the Kubernetes API server and the kubelet on each node?

A) Plain HTTP
B) SSH Tunnels (deprecated)
C) Secure HTTPS with certificate verification
D)  Konnectivity service",C) Secure HTTPS with certificate verification
"Which command-line flag is used to provide the Kubernetes API server with a root certificate bundle to verify the kubelet's serving certificate?

A) --kubelet-client-certificate
B) --kubelet-private-key
C) --kubelet-certificate-authority
D) --kubelet-token",C) --kubelet-certificate-authority
"The communication from the API server to nodes, pods, and services defaults to plain HTTP.  What security risk does this pose and what is recommended as a safer alternative?

A)  Denial of Service; use SSH tunneling
B) Man-in-the-middle attacks; use HTTPS with certificate verification
C)  Unauthorized access; use RBAC
D) Data corruption; use encrypted etcd storage",B) Man-in-the-middle attacks; use HTTPS with certificate verification
Assume you want to verify the API server's connection to the kubelet using a root certificate.  The certificate is located at `/etc/kubernetes/certs/ca.pem`.  Construct the command-line argument to pass to kube-apiserver to configure this.,--kubelet-certificate-authority=/etc/kubernetes/certs/ca.pem
"What is the recommended replacement for SSH tunnels in securing communication between the control plane and nodes in a Kubernetes cluster?

A)  kube-proxy
B)  Konnectivity service
C)  iptables
D)  Policy-based routing",B) Konnectivity service
"Which Kubernetes component is primarily responsible for maintaining the desired state of the cluster by constantly comparing the desired state with the current state and making necessary adjustments?

A) kube-scheduler
B) kube-apiserver
C) kube-proxy
D) Controllers",D) Controllers
"A Job controller in Kubernetes observes a newly created Job.  How does the Job controller typically ensure the Job's tasks are executed?

A) Directly runs the Pods and containers itself.
B) Interacts with the kubelet directly via a dedicated channel.
C) Sends messages to the API server to create or remove Pods.
D) Modifies the kube-scheduler algorithm to prioritize the Job's Pods.",C) Sends messages to the API server to create or remove Pods.
"Create a Kubernetes Job named 'my-job' that runs a single Pod using the image 'busybox' and executes the command 'echo ""Hello from Job""'.","kubectl create job my-job --image=busybox --command=""['sh', '-c', 'echo ""Hello from Job""']"""
"What is the key difference between a controller that manages resources within the cluster (like the Job controller) and a controller that interacts with external systems?

A) One uses the kubectl command-line tool while the other uses the Kubernetes API.
B) One is part of the kube-controller-manager while the other is not.
C) One manages Kubernetes resources directly; the other interacts with external systems to manage resources outside the cluster.
D) One uses etcd, the other uses a separate database.",C) One manages Kubernetes resources directly; the other interacts with external systems to manage resources outside the cluster.
Assume a Deployment named 'my-deployment' exists.  How would you scale it to 5 replicas?,kubectl scale deployment my-deployment --replicas=5
"Which of the following BEST describes the relationship between the desired state and the current state in a Kubernetes cluster?

A) The current state always matches the desired state.
B) Controllers strive to bring the current state closer to the desired state, but it might not always perfectly match.
C) The desired state is only relevant during cluster initialization.
D) The current state dictates the desired state.","B) Controllers strive to bring the current state closer to the desired state, but it might not always perfectly match."
"Which Kubernetes API group contains Lease objects?
A) apps.k8s.io
B) networking.k8s.io
C) coordination.k8s.io
D) storage.k8s.io",C) coordination.k8s.io
"What field in the Lease spec is updated by the kubelet heartbeat?
A) spec.creationTimestamp
B) spec.leaseDurationSeconds
C) spec.holderIdentity
D) spec.renewTime",D) spec.renewTime
A Kubernetes cluster has multiple kube-apiservers. How can you identify the number of running kube-apiservers using kubectl?,kubectl -n kube-system get lease -l apiserver.kubernetes.io/identity=kube-apiserver
"What is the primary purpose of Leases in Kubernetes leader election?
A) To ensure only one pod per deployment is running.
B) To ensure only one instance of a critical control plane component is active.
C) To manage resource quotas across namespaces.
D) To track the health of nodes in a cluster.",B) To ensure only one instance of a critical control plane component is active.
You need to create a Lease named 'my-app-leader' with a lease duration of 60 seconds in the 'default' namespace.  Provide the kubectl command.,kubectl create lease default -n default --dry-run=client -o yaml | kubectl apply -f - --dry-run=client -n default --filename - --output=yaml | yq e '.spec.leaseDurationSeconds=60' | kubectl apply -f -
"Expired leases from kube-apiservers are garbage collected after how long (by default)?
A) 5 minutes
B) 15 minutes
C) 30 minutes
D) 1 hour",D) 1 hour
"Which Kubernetes component is primarily responsible for updating Node objects with cloud-specific information like region and available resources?

A) kube-scheduler
B) kube-apiserver
C) Node controller (within the cloud-controller-manager)
D) Service controller (within the cloud-controller-manager)",C) Node controller (within the cloud-controller-manager)
"What Kubernetes API resource does the Node controller require full read and write access to perform its functions?

A) v1/Services
B) v1/Pods
C) v1/Nodes
D) v1/Namespaces",C) v1/Nodes
"The cloud-controller-manager uses a plugin mechanism.  Which interface is crucial for allowing different cloud providers to integrate with Kubernetes?

A) CloudProviderInterface
B) KubernetesProviderInterface
C) CloudControllerInterface
D) ProviderPluginInterface",A) CloudProviderInterface
Create a ClusterRoleBinding named 'cloud-controller-manager-binding' that binds the ClusterRole 'cloud-controller-manager' to the ServiceAccount 'cloud-controller-manager'.,kubectl create clusterrolebinding cloud-controller-manager-binding --clusterrole=cloud-controller-manager --serviceaccount=default:cloud-controller-manager
"Which controller within the cloud-controller-manager is responsible for managing load balancers and other cloud infrastructure components based on Service resource definitions?

A) Node controller
B) Route controller
C) Service controller
D) PersistentVolume controller",C) Service controller
"Assuming a Service named 'my-service' requires a load balancer, which kubectl command would you use to check the external IP address provisioned by the cloud provider after the Service controller has configured it?",kubectl get service my-service
"Which of the following is NOT an advantage of cgroup v2 over cgroup v1?
A) Single unified hierarchy design in API
B) Safer sub-tree delegation to containers
C) More complex configuration and management
D) Enhanced resource allocation management and isolation",C) More complex configuration and management
What command would you use on a Linux node to determine if cgroup v2 is in use?,stat -fc %T /sys/fs/cgroup/
"Which container runtime versions are explicitly stated as supporting cgroup v2?
A) containerd v1.3 and later, cri-o v1.19 and later
B) containerd v1.4 and later, cri-o v1.20 and later
C) containerd v1.5 and later, cri-o v1.21 and later
D) containerd v1.2 and later, cri-o v1.18 and later","B) containerd v1.4 and later, cri-o v1.20 and later"
Which Kubernetes feature relies on cgroup v2 primitives for improved memory QoS?,MemoryQoS
What is the recommended minimum Linux kernel version for using cgroup v2 with Kubernetes?,5.8
"Assuming you need to enable cgroup v2 using GRUB, what argument should be added to GRUB_CMDLINE_LINUX in /etc/default/grub?",systemd.unified_cgroup_hierarchy=1
"Which Kubernetes controller is primarily responsible for maintaining the desired number of pods in a Deployment?

A) kubelet
B) Deployment Controller
C) PersistentVolume Controller
D) Node Controller",B) Deployment Controller
"A Pod's container crashes.  Assuming the default restart policy, what action does Kubernetes take?

A) The kubelet immediately terminates the Pod.
B) The kubelet restarts the container.
C) The Pod is permanently removed from the Deployment.
D) Kubernetes waits for manual intervention.",B) The kubelet restarts the container.
Create a StatefulSet named 'my-statefulset' with 3 replicas using the nginx:latest image and a persistent volume claim named 'my-pvc'.,"kubectl create statefulset my-statefulset --replicas=3 --image=nginx:latest --volume my-volume --volume-claim-templates -n <namespace> -f - <<EOF
apiVersion: v1
kind: PersistentVolumeClaim
metadata:
  name: my-pvc
spec:
  accessModes:
  - ReadWriteOnce
  resources:
    requests:
      storage: 1Gi
EOF"
"Which component is responsible for ensuring that containers are running and restarting failed containers?

A) kube-scheduler
B) kube-apiserver
C) kube-controller-manager
D) kubelet",D) kubelet
"A node in your Kubernetes cluster fails.  What happens to the Pods running on that node, assuming they have PersistentVolumes attached?

A) The Pods are permanently deleted.
B) The Pods are automatically restarted on a different node.
C) The Pods remain in a failed state until manually restarted.
D) Kubernetes attempts to reschedules the Pods on another node, reattaching their PersistentVolumes.","D) Kubernetes attempts to reschedules the Pods on another node, reattaching their PersistentVolumes."
"Which Kubernetes feature ensures cleanup of resources like terminated Pods and completed Jobs?

A) Resource Quotas
B) Network Policies
C) Garbage Collection
D) Pod Security Policies",C) Garbage Collection
"What happens during foreground cascading deletion?

A) The owner object is deleted immediately, and dependents are cleaned up in the background.
B) Dependent objects are orphaned.
C) The owner object enters a 'deletion in progress' state, and dependents are deleted before the owner.
D) The deletion process ignores owner references.","C) The owner object enters a 'deletion in progress' state, and dependents are deleted before the owner."
