question,answer,explanation
"Which component on a Kubernetes node is responsible for managing the node's communication with the control plane and running containers?

A) kube-proxy
B) kubelet
C) container runtime
D) kube-controller-manager",B) kubelet,"The correct answer is B) kubelet. The kubelet is an agent running on each node that manages the node's communication with the control plane and ensures containers are running in pods. Option A) kube-proxy handles network proxy and load balancing but does not manage node communication or container lifecycle. Option C) container runtime (like containerd or Docker) is responsible for running containers but not for managing communication with Kubernetes. Option D) kube-controller-manager is a control plane component, not a node component."
"What flag must be set to false if you want to manually create and manage Node objects using kubectl in Kubernetes?

A) --register-node
B) --node-labels
C) --node-ip
D) --node-status-update-frequency",A) --register-node,"The correct answer is A) --register-node. Setting --register-node=false instructs the kubelet not to automatically register itself with the API server, enabling manual creation and management of Node objects via kubectl. Option B) --node-labels is used to assign labels during registration but does not control registration mode. Option C) --node-ip specifies the node's IP address, not registration mode. Option D) --node-status-update-frequency controls how often the kubelet updates node status, not registration."
"Which command marks a node as unschedulable, preventing new pods from being scheduled on it?

A) kubectl drain
B) kubectl delete node
C) kubectl cordon
D) kubectl taint nodes",C) kubectl cordon,"The correct answer is C) kubectl cordon. This command marks a node as unschedulable, meaning the scheduler will not place new pods on it but existing pods will remain. Option A) kubectl drain is used to safely evict pods from a node, often before maintenance, but does not just mark the node as unschedulable. Option B) kubectl delete node deletes the node object from the cluster. Option D) kubectl taint nodes applies taints to influence scheduling but does not directly mark the node as unschedulable."
"How can you view detailed status information, including conditions and capacity, of a specific node?

A) kubectl get nodes
B) kubectl describe node <node-name>
C) kubectl get node <node-name> -o yaml
D) kubectl logs <node-name>",B) kubectl describe node <node-name>,"The correct answer is B) kubectl describe node <node-name>. This command provides detailed information about the node, including conditions, capacity, and status. Option A) kubectl get nodes shows a summary list of nodes, but not detailed status. Option C) kubectl get node <node-name> -o yaml outputs the node object in YAML format, which includes detailed info but is less user-friendly for quick status review. Option D) kubectl logs <node-name> is invalid because logs are not available directly for nodes."
"Which component in Kubernetes is responsible for monitoring node health, updating node conditions, and triggering eviction of unreachable nodes?

A) kube-controller-manager
B) kube-scheduler
C) node controller
D) kube-proxy",C) node controller,"The correct answer is C) node controller. It manages node health, updates the node status conditions, and triggers eviction of pods when a node becomes unreachable. Option A) kube-controller-manager contains various controllers, including the node controller, but the specific responsibility lies with the node controller. Option B) kube-scheduler assigns pods to nodes but does not monitor node health. Option D) kube-proxy handles network proxying and load balancing, not health monitoring."
"In Kubernetes, what is the default protocol used for communication between nodes and the control plane's API server?

A) HTTP
B) HTTPS
C) TCP
D) SSH",B) HTTPS,"The correct answer is B) HTTPS. By default, the API server listens on port 443 (HTTPS) and secures communications with nodes and clients using TLS encryption. Option A) HTTP is incorrect because it is insecure and not used by default for control plane communications. Option C) TCP is too generic and does not specify encryption; the actual protocol is HTTPS, which runs over TCP. Option D) SSH is used for tunneling or administrative access, not for standard API server communication."
"Which component is primarily responsible for fetching logs and attaching to running pods from the control plane?

A) kube-proxy
B) kube-controller-manager
C) kubelet
D) kube-scheduler",C) kubelet,"The correct answer is C) kubelet. The kubelet runs on each node and is responsible for managing individual pods, including providing logs and attaching to pods via commands like 'kubectl logs' and 'kubectl attach'. Option A) kube-proxy handles network proxying. Option B) kube-controller-manager manages higher-level control loops but does not handle logs or direct pod attachment. Option D) kube-scheduler schedules pods onto nodes but does not manage logs or attachments."
"What is the purpose of the '--kubelet-certificate-authority' flag when used with the Kubernetes API server?

A) To specify the CA for verifying the API server's certificate
B) To specify the CA for verifying the kubelet's serving certificate
C) To authenticate client certificates for kubelets
D) To enable SSH tunneling to the kubelet",B) To specify the CA for verifying the kubelet's serving certificate,"The correct answer is B) To specify the CA for verifying the kubelet's serving certificate. This flag provides the API server with a root CA bundle to validate the kubelet's TLS certificate, ensuring secure communication. Option A) is incorrect because it pertains to the API server's own certificate verification, which is configured separately. Option C) refers to client certificate authentication, which is managed through different flags and configurations. Option D) is incorrect because the flag does not enable SSH tunneling."
"In the context of Kubernetes control plane to node communication, why are plain HTTP connections considered unsafe over untrusted networks?

A) They do not encrypt data, risking exposure of sensitive information.
B) They are incompatible with most network devices.
C) They automatically require VPNs to function.
D) They only work within the same subnet.","A) They do not encrypt data, risking exposure of sensitive information.","The correct answer is A) They do not encrypt data, risking exposure of sensitive information. Plain HTTP connections are unencrypted, so data transmitted can be intercepted and read by malicious actors when used over untrusted networks. Option B) is incorrect because HTTP can work over any network; the issue is security, not compatibility. Option C) is incorrect because HTTP does not require VPNs; VPNs are a security measure, not a requirement. Option D) is incorrect because HTTP can operate over any network segment; its security depends on encryption, not network topology."
"What is the primary purpose of the Konnectivity service in Kubernetes?

A) To replace SSH tunnels for control plane to node communication.
B) To provide a new scheduler for pods.
C) To manage persistent storage for stateful applications.
D) To monitor network traffic within the cluster.",A) To replace SSH tunnels for control plane to node communication.,"The correct answer is A) To replace SSH tunnels for control plane to node communication. The Konnectivity service provides a TCP-level proxy that secures control plane to node traffic, replacing deprecated SSH tunnels. Option B) is incorrect because it does not relate to scheduling. Option C) is incorrect because storage management is handled by storage classes and CSI drivers, not Konnectivity. Option D) is incorrect as network traffic monitoring is performed by other tools like network plugins or monitoring solutions; Konnectivity's role is secure communication."
"In Kubernetes, what is the primary role of a controller?

A) To manually manage the cluster state
B) To watch the current state and make or request changes to reach the desired state
C) To directly create all resources in the cluster
D) To replace the API server in managing cluster state",B) To watch the current state and make or request changes to reach the desired state,The correct answer is B. Controllers in Kubernetes are control loops that continuously monitor the current state of the cluster and work to bring it closer to the desired state by making necessary changes. Option A is incorrect because controllers automate management rather than manual intervention. Option C is incorrect because controllers do not directly create resources; they request the API server to do so. Option D is wrong because controllers do not replace the API server; they work in conjunction with it.
"Which component in Kubernetes manages the control loops for built-in controllers such as Deployment and Job?

A) kube-scheduler
B) kube-controller-manager
C) kube-apiserver
D) kubelet",B) kube-controller-manager,"The correct answer is B. The kube-controller-manager runs the control loops for various built-in controllers like Deployment, Job, and others, ensuring the cluster state aligns with the desired configurations. Option A, kube-scheduler, is responsible for scheduling Pods onto nodes but does not manage controllers. Option C, kube-apiserver, handles API requests but does not run controllers directly. Option D, kubelet, manages individual node operations but is not responsible for control loops."
"What does the Job controller in Kubernetes do?

A) Creates Pods to run a specific task until completion
B) Manages the lifecycle of Deployments
C) Handles the scaling of Nodes
D) Monitors the health of the cluster nodes",A) Creates Pods to run a specific task until completion,"The correct answer is A. The Job controller creates Pods to execute a specific task and ensures they run to completion, marking the Job as finished when done. Option B is incorrect because Deployment controllers manage Pods for deploying applications, not Jobs. Option C is incorrect because Node scaling is managed by other controllers or external systems. Option D pertains to node health monitoring, which is outside the scope of the Job controller."
