question,answer
1. What is the Service API in Kubernetes primarily designed for? — A) Managing container images — B) Exposing groups of Pods over a network — C) Configuring network security policies — D) Orchestrating load balancing mechanisms,B) Exposing groups of Pods over a network
2. How does the Service abstraction in Kubernetes help in decoupling applications? — A) By defining logical sets of endpoints — B) By managing container replicas — C) By enforcing security policies — D) By providing direct access to Pods,A) By defining logical sets of endpoints
"3. In Kubernetes, what determines the set of Pods targeted by a Service? — A) Replica count — B) Selector definition — C) Pod IP addresses — D) Container image name",B) Selector definition
4. What is the purpose of an Ingress in Kubernetes? — A) To manage containerized databases — B) To consolidate routing rules for web traffic — C) To monitor resource usage — D) To control access to the Kubernetes API,B) To consolidate routing rules for web traffic
"5. How does an Ingress differ from a Service in Kubernetes? — A) Ingress provides access to internal services while Service handles external traffic. — B) Ingress consolidates routing rules, while Service manages endpoint exposure. — C) Ingress is used for stateful workloads, while Service is for stateless workloads. — D) Ingress manages container lifecycle, while Service manages networking policies.","B) Ingress consolidates routing rules, while Service manages endpoint exposure."
6. What additional capabilities does the Gateway API for Kubernetes provide beyond Ingress and Service? — A) Enhanced security features — B) Load balancing mechanisms — C) Custom routing configurations — D) Network service access configuration,D) Network service access configuration
7. How are Ingress and Gateway related in Kubernetes? — A) Ingress is a subset of Gateway functionality. — B) Gateway is an alternative to Ingress. — C) Ingress and Gateway are complementary for managing network access. — D) Ingress is deprecated in favor of Gateway.,C) Ingress and Gateway are complementary for managing network access.
8. Which Kubernetes resource acts as the entry point for routing rules consolidation? — A) Ingress — B) Service — C) Gateway — D) Pod,A) Ingress
9. What type of workload would typically benefit from using Ingress in Kubernetes? — A) Stateful applications — B) Stateless microservices — C) Batch processing jobs — D) Database management systems,B) Stateless microservices
"10. In Kubernetes, how are routing rules consolidated using Ingress? — A) By exposing multiple components behind a single listener — B) By defining logical sets of endpoints — C) By enforcing network security policies — D) By managing containerized databases",A) By exposing multiple components behind a single listener
11. What role does the Gateway API play in Kubernetes networking? — A) It replaces Ingress for routing configurations. — B) It provides additional capabilities beyond Ingress and Service. — C) It handles container image management. — D) It controls access to the Kubernetes API server.,B) It provides additional capabilities beyond Ingress and Service.
12. How does the Service API in Kubernetes contribute to application scalability? — A) By managing container lifecycles — B) By dynamically adjusting replica counts — C) By defining logical sets of endpoints — D) By enforcing network security policies,C) By defining logical sets of endpoints
13. Which Kubernetes resource is responsible for managing access to network services within the cluster? — A) Gateway — B) Ingress — C) Service — D) Pod,C) Service
14. What is the primary advantage of using a Service in Kubernetes? — A) Simplifying container image management — B) Ensuring high availability of Pods — C) Exposing groups of Pods over a network — D) Enforcing security policies within Pods,C) Exposing groups of Pods over a network
